:nemesis	:info	:start-partition	:one
1	:invoke	:add	0
:nemesis	:info	:start-partition	[:isolated {"n1" #{"n2" "n0"}, "n2" #{"n1"}, "n0" #{"n1"}}]
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	0
0	:invoke	:read	nil
1	:invoke	:add	4
0	:ok	:read	0
1	:ok	:add	4
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	12
2	:ok	:read	0
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	0
0	:invoke	:read	nil
0	:ok	:read	18
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	21
2	:invoke	:read	nil
2	:ok	:read	0
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	21
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:invoke	:add	1
1	:ok	:read	21
0	:ok	:add	1
2	:ok	:read	0
0	:invoke	:read	nil
0	:ok	:read	24
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	33
1	:invoke	:read	nil
1	:ok	:read	27
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	33
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	33
1	:ok	:read	27
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	39
1	:invoke	:read	nil
1	:ok	:read	27
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	12
0	:ok	:read	39
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	27
2	:invoke	:read	nil
0	:invoke	:add	4
2	:ok	:read	12
0	:ok	:add	4
0	:invoke	:read	nil
1	:invoke	:add	1
0	:ok	:read	57
1	:ok	:add	1
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	66
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	66
1	:ok	:read	30
1	:invoke	:read	nil
1	:ok	:read	30
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	72
1	:invoke	:read	nil
1	:ok	:read	30
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	72
0	:invoke	:read	nil
0	:ok	:read	72
1	:invoke	:read	nil
1	:ok	:read	30
2	:invoke	:read	nil
2	:ok	:read	54
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	72
1	:invoke	:read	nil
1	:ok	:read	30
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	84
1	:invoke	:read	nil
1	:ok	:read	30
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
1	:invoke	:add	0
0	:ok	:read	84
1	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	30
2	:invoke	:read	nil
2	:ok	:read	69
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:add	1
2	:invoke	:read	nil
1	:ok	:add	1
0	:invoke	:read	nil
2	:ok	:read	69
0	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:read	nil
1	:ok	:read	33
2	:invoke	:read	nil
2	:ok	:read	69
0	:invoke	:read	nil
0	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:read	nil
1	:ok	:read	33
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	69
0	:invoke	:read	nil
0	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:read	nil
1	:ok	:read	36
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:read	nil
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:ok	:read	36
2	:ok	:read	69
0	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:read	nil
1	:ok	:read	36
2	:invoke	:read	nil
2	:ok	:read	69
0	:invoke	:read	nil
0	:ok	:read	87
0	:invoke	:read	nil
0	:ok	:read	87
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	72
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	102
1	:invoke	:read	nil
1	:ok	:read	51
2	:invoke	:read	nil
2	:ok	:read	72
0	:invoke	:read	nil
0	:ok	:read	102
0	:invoke	:read	nil
0	:ok	:read	102
1	:invoke	:read	nil
1	:ok	:read	51
2	:invoke	:read	nil
2	:ok	:read	72
0	:invoke	:read	nil
0	:ok	:read	102
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	102
1	:ok	:read	51
2	:invoke	:read	nil
2	:ok	:read	72
0	:invoke	:read	nil
0	:ok	:read	102
0	:invoke	:read	nil
0	:ok	:read	102
1	:invoke	:read	nil
1	:ok	:read	51
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	102
0	:invoke	:read	nil
0	:ok	:read	102
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	102
0	:invoke	:read	nil
0	:ok	:read	102
1	:invoke	:read	nil
1	:ok	:read	57
2	:invoke	:read	nil
2	:ok	:read	87
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	105
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
1	:invoke	:add	3
0	:ok	:read	105
1	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	69
2	:invoke	:read	nil
2	:ok	:read	93
0	:invoke	:read	nil
0	:ok	:read	105
0	:invoke	:read	nil
0	:ok	:read	105
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	93
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	105
1	:invoke	:read	nil
1	:ok	:read	75
2	:invoke	:read	nil
2	:ok	:read	93
0	:invoke	:read	nil
0	:ok	:read	105
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	75
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:add	4
1	:invoke	:read	nil
0	:ok	:add	4
1	:ok	:read	75
1	:invoke	:read	nil
1	:ok	:read	75
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	117
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
2	:invoke	:add	1
1	:ok	:read	75
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	117
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	75
2	:invoke	:read	nil
2	:ok	:read	108
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	120
1	:invoke	:read	nil
1	:ok	:read	75
2	:invoke	:read	nil
2	:ok	:read	108
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	132
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	108
0	:invoke	:read	nil
0	:ok	:read	132
0	:invoke	:read	nil
0	:ok	:read	132
1	:invoke	:read	nil
1	:ok	:read	78
2	:invoke	:read	nil
2	:ok	:read	108
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	144
1	:invoke	:read	nil
1	:ok	:read	78
2	:invoke	:read	nil
2	:ok	:read	108
0	:invoke	:read	nil
0	:ok	:read	144
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	108
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	159
1	:invoke	:read	nil
1	:ok	:read	90
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	159
0	:invoke	:read	nil
0	:ok	:read	159
1	:invoke	:read	nil
1	:ok	:read	90
2	:invoke	:read	nil
2	:ok	:read	120
0	:invoke	:add	1
1	:invoke	:read	nil
0	:ok	:add	1
1	:ok	:read	90
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	162
0	:invoke	:read	nil
1	:invoke	:add	2
0	:ok	:read	162
